question,difficulty,category,date,Question,Answer,Category,Difficulty,paraphrase,question_text,topic,difficulty_clean,difficulty_norm,question_text_clean
Explain the concept of data ethics with a short example.,Medium,Data Science,,,,,,Short version: Explain the concept of data ethics with a short example.,Explain the concept of data ethics with a short example.,Data Science,Medium,medium,Explain the concept of data ethics with a short example.
"Design a solution: Give an example where situational judgement would fail, and how you'd detect or fix it. Assume 1M daily users.",Hard,Behavioural,,,,,,"Short version: Design a solution: Give an example where situational judgement would fail, and how you'd detect or fix it. Assume 1M daily users.","Design a solution: Give an example where situational judgement would fail, and how you'd detect or fix it. Assume 1M daily users.",Behavioural,Hard,hard,"Design a solution: Give an example where situational judgement would fail, and how you'd detect or fix it. Assume 1M daily users."
Design a solution: Explain the concept of nosql use-cases with a short example. Assume 1M daily users.,Hard,Database & SQL,,,,,,Alternate phrasing: Design a solution: Explain the concept of nosql use-cases with a short example. Assume 1M daily users.,Design a solution: Explain the concept of nosql use-cases with a short example. Assume 1M daily users.,Database & SQL,Hard,hard,Design a solution: Explain the concept of nosql use-cases with a short example. Assume 1M daily users.
"Give an example where joins vs denormalization would fail, and how you'd detect or fix it.",Easy,Database & SQL,,,,,,"Describe: Give an example where joins vs denormalization would fail, and how you'd detect or fix it.","Give an example where joins vs denormalization would fail, and how you'd detect or fix it.",Database & SQL,Easy,easy,"Give an example where joins vs denormalization would fail, and how you'd detect or fix it."
Compare different approaches to leadership examples and justify which you'd pick for high throughput systems.,Medium,Behavioural,,,,,,Another way to ask: Compare different approaches to leadership examples and justify which you'd pick for high throughput systems.,Compare different approaches to leadership examples and justify which you'd pick for high throughput systems.,Behavioural,Medium,medium,Compare different approaches to leadership examples and justify which you'd pick for high throughput systems.
Explain the concept of graph algorithms with a short example.,Medium,Algorithms,,,,,,Alternate phrasing: Explain the concept of graph algorithms with a short example.,Explain the concept of graph algorithms with a short example.,Algorithms,Medium,medium,Explain the concept of graph algorithms with a short example.
Explain vae and gan and when you'd use it in production.,Medium,Deep Learning,,,,,,Short version: Explain vae and gan and when you'd use it in production.,Explain vae and gan and when you'd use it in production.,Deep Learning,Medium,medium,Explain vae and gan and when you'd use it in production.
Describe the trade-offs involved in replication.,Medium,Database & SQL,,,,,,Alternate phrasing: Describe the trade-offs involved in replication.,Describe the trade-offs involved in replication.,Database & SQL,Medium,medium,Describe the trade-offs involved in replication.
Design a solution: Explain the concept of blue-green deployment with a short example. Latency must stay below 200ms.,Hard,Cloud & DevOps,,,,,,Describe: Design a solution: Explain the concept of blue-green deployment with a short example. Latency must stay below 200ms.,Design a solution: Explain the concept of blue-green deployment with a short example. Latency must stay below 200ms.,Cloud & DevOps,Hard,hard,Design a solution: Explain the concept of blue-green deployment with a short example. Latency must stay below 200ms.
How do you evaluate the effectiveness of load balancing in a real project?,Medium,System Design,,,,,,Another way to ask: How do you evaluate the effectiveness of load balancing in a real project?,How do you evaluate the effectiveness of load balancing in a real project?,System Design,Medium,medium,How do you evaluate the effectiveness of load balancing in a real project?
Describe the trade-offs involved in causal inference basics.,Easy,Data Science,,,,,,Alternate phrasing: Describe the trade-offs involved in causal inference basics.,Describe the trade-offs involved in causal inference basics.,Data Science,Easy,easy,Describe the trade-offs involved in causal inference basics.
How would you approach roadmap prioritization for a large-scale system?,Easy,Behavioural,,,,,,Short version: How would you approach roadmap prioritization for a large-scale system?,How would you approach roadmap prioritization for a large-scale system?,Behavioural,Easy,easy,How would you approach roadmap prioritization for a large-scale system?
Design a solution: Compare different approaches to situational judgement and justify which you'd pick for high throughput systems. Requires cross-region fault tolerance.,Hard,Behavioural,,,,,,Another way to ask: Design a solution: Compare different approaches to situational judgement and justify which you'd pick for high throughput systems. Requires cross-region fault tolerance.,Design a solution: Compare different approaches to situational judgement and justify which you'd pick for high throughput systems. Requires cross-region fault tolerance.,Behavioural,Hard,hard,Design a solution: Compare different approaches to situational judgement and justify which you'd pick for high throughput systems. Requires cross-region fault tolerance.
Describe the trade-offs involved in designing scalable systems.,Medium,System Design,,,,,,Alternate phrasing: Describe the trade-offs involved in designing scalable systems.,Describe the trade-offs involved in designing scalable systems.,System Design,Medium,medium,Describe the trade-offs involved in designing scalable systems.
Describe the trade-offs involved in transactions and isolation levels. Latency must stay below 200ms.,Easy,Database & SQL,,,,,,Describe: Describe the trade-offs involved in transactions and isolation levels. Latency must stay below 200ms.,Describe the trade-offs involved in transactions and isolation levels. Latency must stay below 200ms.,Database & SQL,Easy,easy,Describe the trade-offs involved in transactions and isolation levels. Latency must stay below 200ms.
Design a solution: Compare different approaches to shortest path and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Hard,Algorithms,,,,,,Another way to ask: Design a solution: Compare different approaches to shortest path and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Design a solution: Compare different approaches to shortest path and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Algorithms,Hard,hard,Design a solution: Compare different approaches to shortest path and justify which you'd pick for high throughput systems. Latency must stay below 200ms.
Describe the trade-offs involved in sampling strategies.,Medium,Data Science,,,,,,Another way to ask: Describe the trade-offs involved in sampling strategies.,Describe the trade-offs involved in sampling strategies.,Data Science,Medium,medium,Describe the trade-offs involved in sampling strategies.
Walk me through how you'd implement backups from scratch.,Medium,Database & SQL,,,,,,Rephrase: Walk me through how you'd implement backups from scratch.,Walk me through how you'd implement backups from scratch.,Database & SQL,Medium,medium,Walk me through how you'd implement backups from scratch.
Design a solution: What are common pitfalls when implementing web accessibility and how do you mitigate them?,Hard,Web Development,,,,,,Another way to ask: Design a solution: What are common pitfalls when implementing web accessibility and how do you mitigate them?,Design a solution: What are common pitfalls when implementing web accessibility and how do you mitigate them?,Web Development,Hard,hard,Design a solution: What are common pitfalls when implementing web accessibility and how do you mitigate them?
Design a solution: How do you evaluate the effectiveness of joins vs denormalization in a real project?,Hard,Database & SQL,,,,,,Short version: Design a solution: How do you evaluate the effectiveness of joins vs denormalization in a real project?,Design a solution: How do you evaluate the effectiveness of joins vs denormalization in a real project?,Database & SQL,Hard,hard,Design a solution: How do you evaluate the effectiveness of joins vs denormalization in a real project?
Design a solution: Describe the trade-offs involved in feature selection.,Hard,Data Science,,,,,,Describe: Design a solution: Describe the trade-offs involved in feature selection.,Design a solution: Describe the trade-offs involved in feature selection.,Data Science,Hard,hard,Design a solution: Describe the trade-offs involved in feature selection.
Design a solution: Compare different approaches to mentorship and justify which you'd pick for high throughput systems.,Hard,Behavioural,,,,,,Another way to ask: Design a solution: Compare different approaches to mentorship and justify which you'd pick for high throughput systems.,Design a solution: Compare different approaches to mentorship and justify which you'd pick for high throughput systems.,Behavioural,Hard,hard,Design a solution: Compare different approaches to mentorship and justify which you'd pick for high throughput systems.
Describe the trade-offs involved in training stability.,Easy,Deep Learning,,,,,,Another way to ask: Describe the trade-offs involved in training stability.,Describe the trade-offs involved in training stability.,Deep Learning,Easy,easy,Describe the trade-offs involved in training stability.
Compare different approaches to class imbalance and justify which you'd pick for high throughput systems.,Easy,Machine Learning,,,,,,Short version: Compare different approaches to class imbalance and justify which you'd pick for high throughput systems.,Compare different approaches to class imbalance and justify which you'd pick for high throughput systems.,Machine Learning,Easy,easy,Compare different approaches to class imbalance and justify which you'd pick for high throughput systems.
"Give an example where loss functions would fail, and how you'd detect or fix it.",Easy,Deep Learning,,,,,,"Alternate phrasing: Give an example where loss functions would fail, and how you'd detect or fix it.","Give an example where loss functions would fail, and how you'd detect or fix it.",Deep Learning,Easy,easy,"Give an example where loss functions would fail, and how you'd detect or fix it."
Walk me through how you'd implement missing values from scratch.,Easy,Data Science,,,,,,Rephrase: Walk me through how you'd implement missing values from scratch.,Walk me through how you'd implement missing values from scratch.,Data Science,Easy,easy,Walk me through how you'd implement missing values from scratch.
How would you approach joins vs denormalization for a large-scale system? Dataset is highly imbalanced.,Medium,Database & SQL,,,,,,Rephrase: How would you approach joins vs denormalization for a large-scale system? Dataset is highly imbalanced.,How would you approach joins vs denormalization for a large-scale system? Dataset is highly imbalanced.,Database & SQL,Medium,medium,How would you approach joins vs denormalization for a large-scale system? Dataset is highly imbalanced.
Design an architecture or algorithm to solve shortest path and explain your choices.,Medium,Algorithms,,,,,,Describe: Design an architecture or algorithm to solve shortest path and explain your choices.,Design an architecture or algorithm to solve shortest path and explain your choices.,Algorithms,Medium,medium,Design an architecture or algorithm to solve shortest path and explain your choices.
Explain the concept of regularization with a short example.,Medium,Machine Learning,,,,,,Describe: Explain the concept of regularization with a short example.,Explain the concept of regularization with a short example.,Machine Learning,Medium,medium,Explain the concept of regularization with a short example.
Compare different approaches to backups and justify which you'd pick for high throughput systems.,Medium,Database & SQL,,,,,,Rephrase: Compare different approaches to backups and justify which you'd pick for high throughput systems.,Compare different approaches to backups and justify which you'd pick for high throughput systems.,Database & SQL,Medium,medium,Compare different approaches to backups and justify which you'd pick for high throughput systems.
"Give an example where responsive design would fail, and how you'd detect or fix it.",Easy,Web Development,,,,,,"Short version: Give an example where responsive design would fail, and how you'd detect or fix it.","Give an example where responsive design would fail, and how you'd detect or fix it.",Web Development,Easy,easy,"Give an example where responsive design would fail, and how you'd detect or fix it."
Compare different approaches to data ethics and justify which you'd pick for high throughput systems.,Medium,Data Science,,,,,,Describe: Compare different approaches to data ethics and justify which you'd pick for high throughput systems.,Compare different approaches to data ethics and justify which you'd pick for high throughput systems.,Data Science,Medium,medium,Compare different approaches to data ethics and justify which you'd pick for high throughput systems.
Compare different approaches to shortest path and justify which you'd pick for high throughput systems.,Medium,Algorithms,,,,,,Short version: Compare different approaches to shortest path and justify which you'd pick for high throughput systems.,Compare different approaches to shortest path and justify which you'd pick for high throughput systems.,Algorithms,Medium,medium,Compare different approaches to shortest path and justify which you'd pick for high throughput systems.
"Give an example where normalization would fail, and how you'd detect or fix it.",Medium,Database & SQL,,,,,,"Describe: Give an example where normalization would fail, and how you'd detect or fix it.","Give an example where normalization would fail, and how you'd detect or fix it.",Database & SQL,Medium,medium,"Give an example where normalization would fail, and how you'd detect or fix it."
How would you approach load balancing for a large-scale system?,Medium,System Design,,,,,,Alternate phrasing: How would you approach load balancing for a large-scale system?,How would you approach load balancing for a large-scale system?,System Design,Medium,medium,How would you approach load balancing for a large-scale system?
"Give an example where eda techniques would fail, and how you'd detect or fix it.",Medium,Data Science,,,,,,"Rephrase: Give an example where eda techniques would fail, and how you'd detect or fix it.","Give an example where eda techniques would fail, and how you'd detect or fix it.",Data Science,Medium,medium,"Give an example where eda techniques would fail, and how you'd detect or fix it."
Design a solution: Walk me through how you'd implement multi-task learning from scratch. Dataset is highly imbalanced.,Hard,Deep Learning,,,,,,Describe: Design a solution: Walk me through how you'd implement multi-task learning from scratch. Dataset is highly imbalanced.,Design a solution: Walk me through how you'd implement multi-task learning from scratch. Dataset is highly imbalanced.,Deep Learning,Hard,hard,Design a solution: Walk me through how you'd implement multi-task learning from scratch. Dataset is highly imbalanced.
Design an architecture or algorithm to solve rest api design and explain your choices.,Medium,Backend Development,,,,,,Another way to ask: Design an architecture or algorithm to solve rest api design and explain your choices.,Design an architecture or algorithm to solve rest api design and explain your choices.,Backend Development,Medium,medium,Design an architecture or algorithm to solve rest api design and explain your choices.
What are common pitfalls when implementing nosql use-cases and how do you mitigate them?,Easy,Database & SQL,,,,,,Describe: What are common pitfalls when implementing nosql use-cases and how do you mitigate them?,What are common pitfalls when implementing nosql use-cases and how do you mitigate them?,Database & SQL,Easy,easy,What are common pitfalls when implementing nosql use-cases and how do you mitigate them?
"Give an example where situational judgement would fail, and how you'd detect or fix it.",Medium,Behavioural,,,,,,"Short version: Give an example where situational judgement would fail, and how you'd detect or fix it.","Give an example where situational judgement would fail, and how you'd detect or fix it.",Behavioural,Medium,medium,"Give an example where situational judgement would fail, and how you'd detect or fix it."
Describe the trade-offs involved in window functions.,Medium,Database & SQL,,,,,,Short version: Describe the trade-offs involved in window functions.,Describe the trade-offs involved in window functions.,Database & SQL,Medium,medium,Describe the trade-offs involved in window functions.
How would you approach rate limiting for a large-scale system?,Medium,System Design,,,,,,Describe: How would you approach rate limiting for a large-scale system?,How would you approach rate limiting for a large-scale system?,System Design,Medium,medium,How would you approach rate limiting for a large-scale system?
"Give an example where ci/cd pipelines would fail, and how you'd detect or fix it. Latency must stay below 200ms.",Medium,Cloud & DevOps,,,,,,"Alternate phrasing: Give an example where ci/cd pipelines would fail, and how you'd detect or fix it. Latency must stay below 200ms.","Give an example where ci/cd pipelines would fail, and how you'd detect or fix it. Latency must stay below 200ms.",Cloud & DevOps,Medium,medium,"Give an example where ci/cd pipelines would fail, and how you'd detect or fix it. Latency must stay below 200ms."
How do you evaluate the effectiveness of web accessibility in a real project? Requires cross-region fault tolerance.,Medium,Web Development,,,,,,Alternate phrasing: How do you evaluate the effectiveness of web accessibility in a real project? Requires cross-region fault tolerance.,How do you evaluate the effectiveness of web accessibility in a real project? Requires cross-region fault tolerance.,Web Development,Medium,medium,How do you evaluate the effectiveness of web accessibility in a real project? Requires cross-region fault tolerance.
How do you evaluate the effectiveness of frontend-backend interaction in a real project?,Easy,Web Development,,,,,,Rephrase: How do you evaluate the effectiveness of frontend-backend interaction in a real project?,How do you evaluate the effectiveness of frontend-backend interaction in a real project?,Web Development,Easy,easy,How do you evaluate the effectiveness of frontend-backend interaction in a real project?
Design a solution: Walk me through how you'd implement model evaluation from scratch. Assume 1M daily users.,Hard,Machine Learning,,,,,,Rephrase: Design a solution: Walk me through how you'd implement model evaluation from scratch. Assume 1M daily users.,Design a solution: Walk me through how you'd implement model evaluation from scratch. Assume 1M daily users.,Machine Learning,Hard,hard,Design a solution: Walk me through how you'd implement model evaluation from scratch. Assume 1M daily users.
Explain the concept of situational judgement with a short example. Dataset is highly imbalanced.,Medium,Behavioural,,,,,,Short version: Explain the concept of situational judgement with a short example. Dataset is highly imbalanced.,Explain the concept of situational judgement with a short example. Dataset is highly imbalanced.,Behavioural,Medium,medium,Explain the concept of situational judgement with a short example. Dataset is highly imbalanced.
How would you approach caching layers for a large-scale system?,Medium,System Design,,,,,,Another way to ask: How would you approach caching layers for a large-scale system?,How would you approach caching layers for a large-scale system?,System Design,Medium,medium,How would you approach caching layers for a large-scale system?
Design an architecture or algorithm to solve high availability and explain your choices.,Medium,System Design,,,,,,Describe: Design an architecture or algorithm to solve high availability and explain your choices.,Design an architecture or algorithm to solve high availability and explain your choices.,System Design,Medium,medium,Design an architecture or algorithm to solve high availability and explain your choices.
Compare different approaches to recommendation systems and justify which you'd pick for high throughput systems.,Easy,Machine Learning,,,,,,Another way to ask: Compare different approaches to recommendation systems and justify which you'd pick for high throughput systems.,Compare different approaches to recommendation systems and justify which you'd pick for high throughput systems.,Machine Learning,Easy,easy,Compare different approaches to recommendation systems and justify which you'd pick for high throughput systems.
Design a solution: Walk me through how you'd implement training stability from scratch.,Hard,Deep Learning,,,,,,Another way to ask: Design a solution: Walk me through how you'd implement training stability from scratch.,Design a solution: Walk me through how you'd implement training stability from scratch.,Deep Learning,Hard,hard,Design a solution: Walk me through how you'd implement training stability from scratch.
Describe the trade-offs involved in web accessibility.,Easy,Web Development,,,,,,Short version: Describe the trade-offs involved in web accessibility.,Describe the trade-offs involved in web accessibility.,Web Development,Easy,easy,Describe the trade-offs involved in web accessibility.
How would you approach data wrangling tools for a large-scale system?,Medium,Data Science,,,,,,Alternate phrasing: How would you approach data wrangling tools for a large-scale system?,How would you approach data wrangling tools for a large-scale system?,Data Science,Medium,medium,How would you approach data wrangling tools for a large-scale system?
Describe the trade-offs involved in data wrangling tools.,Medium,Data Science,,,,,,Another way to ask: Describe the trade-offs involved in data wrangling tools.,Describe the trade-offs involved in data wrangling tools.,Data Science,Medium,medium,Describe the trade-offs involved in data wrangling tools.
Design a solution: Describe the trade-offs involved in authentication.,Hard,Backend Development,,,,,,Short version: Design a solution: Describe the trade-offs involved in authentication.,Design a solution: Describe the trade-offs involved in authentication.,Backend Development,Hard,hard,Design a solution: Describe the trade-offs involved in authentication.
"Give an example where cross-validation would fail, and how you'd detect or fix it.",Medium,Machine Learning,,,,,,"Another way to ask: Give an example where cross-validation would fail, and how you'd detect or fix it.","Give an example where cross-validation would fail, and how you'd detect or fix it.",Machine Learning,Medium,medium,"Give an example where cross-validation would fail, and how you'd detect or fix it."
Design a solution: How would you approach sampling strategies for a large-scale system?,Hard,Data Science,,,,,,Short version: Design a solution: How would you approach sampling strategies for a large-scale system?,Design a solution: How would you approach sampling strategies for a large-scale system?,Data Science,Hard,hard,Design a solution: How would you approach sampling strategies for a large-scale system?
Design a solution: Explain the concept of heap and priority queue with a short example. Latency must stay below 200ms.,Hard,Algorithms,,,,,,Describe: Design a solution: Explain the concept of heap and priority queue with a short example. Latency must stay below 200ms.,Design a solution: Explain the concept of heap and priority queue with a short example. Latency must stay below 200ms.,Algorithms,Hard,hard,Design a solution: Explain the concept of heap and priority queue with a short example. Latency must stay below 200ms.
"Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced.",Medium,Database & SQL,,,,,,"Rephrase: Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced.","Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced.",Database & SQL,Medium,medium,"Give an example where joins vs denormalization would fail, and how you'd detect or fix it. Dataset is highly imbalanced."
Design a solution: Explain secrets management and when you'd use it in production.,Hard,Cloud & DevOps,,,,,,Another way to ask: Design a solution: Explain secrets management and when you'd use it in production.,Design a solution: Explain secrets management and when you'd use it in production.,Cloud & DevOps,Hard,hard,Design a solution: Explain secrets management and when you'd use it in production.
"Give an example where statistical testing would fail, and how you'd detect or fix it.",Easy,Data Science,,,,,,"Rephrase: Give an example where statistical testing would fail, and how you'd detect or fix it.","Give an example where statistical testing would fail, and how you'd detect or fix it.",Data Science,Easy,easy,"Give an example where statistical testing would fail, and how you'd detect or fix it."
Design a solution: How would you approach rate limiting for a large-scale system?,Hard,System Design,,,,,,Another way to ask: Design a solution: How would you approach rate limiting for a large-scale system?,Design a solution: How would you approach rate limiting for a large-scale system?,System Design,Hard,hard,Design a solution: How would you approach rate limiting for a large-scale system?
Explain the concept of ssr vs csr with a short example.,Medium,Web Development,,,,,,Another way to ask: Explain the concept of ssr vs csr with a short example.,Explain the concept of ssr vs csr with a short example.,Web Development,Medium,medium,Explain the concept of ssr vs csr with a short example.
Explain the concept of failure and recovery with a short example. Latency must stay below 200ms.,Medium,Behavioural,,,,,,Another way to ask: Explain the concept of failure and recovery with a short example. Latency must stay below 200ms.,Explain the concept of failure and recovery with a short example. Latency must stay below 200ms.,Behavioural,Medium,medium,Explain the concept of failure and recovery with a short example. Latency must stay below 200ms.
Explain the concept of supervised vs unsupervised learning with a short example.,Easy,Machine Learning,,,,,,Rephrase: Explain the concept of supervised vs unsupervised learning with a short example.,Explain the concept of supervised vs unsupervised learning with a short example.,Machine Learning,Easy,easy,Explain the concept of supervised vs unsupervised learning with a short example.
Explain technical debt and when you'd use it in production.,Medium,Software Engineering,,,,,,Another way to ask: Explain technical debt and when you'd use it in production.,Explain technical debt and when you'd use it in production.,Software Engineering,Medium,medium,Explain technical debt and when you'd use it in production.
Walk me through how you'd implement model evaluation from scratch.,Medium,Machine Learning,,,,,,Alternate phrasing: Walk me through how you'd implement model evaluation from scratch.,Walk me through how you'd implement model evaluation from scratch.,Machine Learning,Medium,medium,Walk me through how you'd implement model evaluation from scratch.
"Give an example where code reviews would fail, and how you'd detect or fix it.",Medium,Software Engineering,,,,,,"Alternate phrasing: Give an example where code reviews would fail, and how you'd detect or fix it.","Give an example where code reviews would fail, and how you'd detect or fix it.",Software Engineering,Medium,medium,"Give an example where code reviews would fail, and how you'd detect or fix it."
Design a solution: Compare different approaches to ci/cd pipelines and justify which you'd pick for high throughput systems.,Hard,Cloud & DevOps,,,,,,Alternate phrasing: Design a solution: Compare different approaches to ci/cd pipelines and justify which you'd pick for high throughput systems.,Design a solution: Compare different approaches to ci/cd pipelines and justify which you'd pick for high throughput systems.,Cloud & DevOps,Hard,hard,Design a solution: Compare different approaches to ci/cd pipelines and justify which you'd pick for high throughput systems.
Walk me through how you'd implement rate limiting from scratch.,Easy,Backend Development,,,,,,Describe: Walk me through how you'd implement rate limiting from scratch.,Walk me through how you'd implement rate limiting from scratch.,Backend Development,Easy,easy,Walk me through how you'd implement rate limiting from scratch.
Design a solution: Explain the concept of ensemble methods with a short example.,Hard,Machine Learning,,,,,,Rephrase: Design a solution: Explain the concept of ensemble methods with a short example.,Design a solution: Explain the concept of ensemble methods with a short example.,Machine Learning,Hard,hard,Design a solution: Explain the concept of ensemble methods with a short example.
What are common pitfalls when implementing designing pub/sub systems and how do you mitigate them?,Medium,System Design,,,,,,Short version: What are common pitfalls when implementing designing pub/sub systems and how do you mitigate them?,What are common pitfalls when implementing designing pub/sub systems and how do you mitigate them?,System Design,Medium,medium,What are common pitfalls when implementing designing pub/sub systems and how do you mitigate them?
Design an architecture or algorithm to solve tree traversals and explain your choices.,Medium,Algorithms,,,,,,Describe: Design an architecture or algorithm to solve tree traversals and explain your choices.,Design an architecture or algorithm to solve tree traversals and explain your choices.,Algorithms,Medium,medium,Design an architecture or algorithm to solve tree traversals and explain your choices.
What are common pitfalls when implementing secrets management and how do you mitigate them?,Medium,Cloud & DevOps,,,,,,Alternate phrasing: What are common pitfalls when implementing secrets management and how do you mitigate them?,What are common pitfalls when implementing secrets management and how do you mitigate them?,Cloud & DevOps,Medium,medium,What are common pitfalls when implementing secrets management and how do you mitigate them?
How would you approach webpack/bundlers for a large-scale system?,Easy,Web Development,,,,,,Alternate phrasing: How would you approach webpack/bundlers for a large-scale system?,How would you approach webpack/bundlers for a large-scale system?,Web Development,Easy,easy,How would you approach webpack/bundlers for a large-scale system?
How do you evaluate the effectiveness of high availability in a real project? Dataset is highly imbalanced.,Medium,System Design,,,,,,Alternate phrasing: How do you evaluate the effectiveness of high availability in a real project? Dataset is highly imbalanced.,How do you evaluate the effectiveness of high availability in a real project? Dataset is highly imbalanced.,System Design,Medium,medium,How do you evaluate the effectiveness of high availability in a real project? Dataset is highly imbalanced.
Compare different approaches to greedy algorithms and justify which you'd pick for high throughput systems.,Easy,Algorithms,,,,,,Another way to ask: Compare different approaches to greedy algorithms and justify which you'd pick for high throughput systems.,Compare different approaches to greedy algorithms and justify which you'd pick for high throughput systems.,Algorithms,Easy,easy,Compare different approaches to greedy algorithms and justify which you'd pick for high throughput systems.
How would you approach component design for a large-scale system? Assume 1M daily users.,Medium,Web Development,,,,,,Short version: How would you approach component design for a large-scale system? Assume 1M daily users.,How would you approach component design for a large-scale system? Assume 1M daily users.,Web Development,Medium,medium,How would you approach component design for a large-scale system? Assume 1M daily users.
"Give an example where caching layers would fail, and how you'd detect or fix it.",Medium,System Design,,,,,,"Rephrase: Give an example where caching layers would fail, and how you'd detect or fix it.","Give an example where caching layers would fail, and how you'd detect or fix it.",System Design,Medium,medium,"Give an example where caching layers would fail, and how you'd detect or fix it."
Explain technical debt and when you'd use it in production. Latency must stay below 200ms.,Medium,Software Engineering,,,,,,Short version: Explain technical debt and when you'd use it in production. Latency must stay below 200ms.,Explain technical debt and when you'd use it in production. Latency must stay below 200ms.,Software Engineering,Medium,medium,Explain technical debt and when you'd use it in production. Latency must stay below 200ms.
Compare different approaches to tree traversals and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Easy,Algorithms,,,,,,Rephrase: Compare different approaches to tree traversals and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Compare different approaches to tree traversals and justify which you'd pick for high throughput systems. Latency must stay below 200ms.,Algorithms,Easy,easy,Compare different approaches to tree traversals and justify which you'd pick for high throughput systems. Latency must stay below 200ms.
Compare different approaches to cost optimization and justify which you'd pick for high throughput systems.,Medium,Cloud & DevOps,,,,,,Another way to ask: Compare different approaches to cost optimization and justify which you'd pick for high throughput systems.,Compare different approaches to cost optimization and justify which you'd pick for high throughput systems.,Cloud & DevOps,Medium,medium,Compare different approaches to cost optimization and justify which you'd pick for high throughput systems.
Explain backups and when you'd use it in production.,Medium,Database & SQL,,,,,,Describe: Explain backups and when you'd use it in production.,Explain backups and when you'd use it in production.,Database & SQL,Medium,medium,Explain backups and when you'd use it in production.
Design a solution: Explain cost optimization and when you'd use it in production.,Hard,Cloud & DevOps,,,,,,Alternate phrasing: Design a solution: Explain cost optimization and when you'd use it in production.,Design a solution: Explain cost optimization and when you'd use it in production.,Cloud & DevOps,Hard,hard,Design a solution: Explain cost optimization and when you'd use it in production.
Explain the concept of team collaboration with a short example.,Medium,Behavioural,,,,,,Another way to ask: Explain the concept of team collaboration with a short example.,Explain the concept of team collaboration with a short example.,Behavioural,Medium,medium,Explain the concept of team collaboration with a short example.
What are common pitfalls when implementing roadmap prioritization and how do you mitigate them? Assume 1M daily users.,Easy,Behavioural,,,,,,Rephrase: What are common pitfalls when implementing roadmap prioritization and how do you mitigate them? Assume 1M daily users.,What are common pitfalls when implementing roadmap prioritization and how do you mitigate them? Assume 1M daily users.,Behavioural,Easy,easy,What are common pitfalls when implementing roadmap prioritization and how do you mitigate them? Assume 1M daily users.
Describe the trade-offs involved in model interpretability.,Medium,Machine Learning,,,,,,Rephrase: Describe the trade-offs involved in model interpretability.,Describe the trade-offs involved in model interpretability.,Machine Learning,Medium,medium,Describe the trade-offs involved in model interpretability.
Design a solution: Walk me through how you'd implement secrets management from scratch.,Hard,Cloud & DevOps,,,,,,Describe: Design a solution: Walk me through how you'd implement secrets management from scratch.,Design a solution: Walk me through how you'd implement secrets management from scratch.,Cloud & DevOps,Hard,hard,Design a solution: Walk me through how you'd implement secrets management from scratch.
"Give an example where visualization best practices would fail, and how you'd detect or fix it.",Easy,Data Science,,,,,,"Short version: Give an example where visualization best practices would fail, and how you'd detect or fix it.","Give an example where visualization best practices would fail, and how you'd detect or fix it.",Data Science,Easy,easy,"Give an example where visualization best practices would fail, and how you'd detect or fix it."
Describe the trade-offs involved in heap and priority queue.,Medium,Algorithms,,,,,,Another way to ask: Describe the trade-offs involved in heap and priority queue.,Describe the trade-offs involved in heap and priority queue.,Algorithms,Medium,medium,Describe the trade-offs involved in heap and priority queue.
Design an architecture or algorithm to solve rate limiting and explain your choices.,Medium,System Design,,,,,,Rephrase: Design an architecture or algorithm to solve rate limiting and explain your choices.,Design an architecture or algorithm to solve rate limiting and explain your choices.,System Design,Medium,medium,Design an architecture or algorithm to solve rate limiting and explain your choices.
What are common pitfalls when implementing database transactions and how do you mitigate them?,Medium,Backend Development,,,,,,Alternate phrasing: What are common pitfalls when implementing database transactions and how do you mitigate them?,What are common pitfalls when implementing database transactions and how do you mitigate them?,Backend Development,Medium,medium,What are common pitfalls when implementing database transactions and how do you mitigate them?
"Walk me through how you'd implement security (xss, csrf) from scratch.",Medium,Web Development,,,,,,"Alternate phrasing: Walk me through how you'd implement security (xss, csrf) from scratch.","Walk me through how you'd implement security (xss, csrf) from scratch.",Web Development,Medium,medium,"Walk me through how you'd implement security (xss, csrf) from scratch."
Explain the concept of greedy algorithms with a short example.,Medium,Algorithms,,,,,,Short version: Explain the concept of greedy algorithms with a short example.,Explain the concept of greedy algorithms with a short example.,Algorithms,Medium,medium,Explain the concept of greedy algorithms with a short example.
Design a solution: Describe the trade-offs involved in service discovery.,Hard,Cloud & DevOps,,,,,,Alternate phrasing: Design a solution: Describe the trade-offs involved in service discovery.,Design a solution: Describe the trade-offs involved in service discovery.,Cloud & DevOps,Hard,hard,Design a solution: Describe the trade-offs involved in service discovery.
Design an architecture or algorithm to solve loss functions and explain your choices.,Hard,Deep Learning,,,,,,Rephrase: Design an architecture or algorithm to solve loss functions and explain your choices.,Design an architecture or algorithm to solve loss functions and explain your choices.,Deep Learning,Hard,hard,Design an architecture or algorithm to solve loss functions and explain your choices.
